Rule_Number,Job_Name,Rule_Execution,Program_Type,Module_Name,Sub_Module,Input_File,Input_File_Layout,Input_File_Length,Output_File,Output_File_Layout,Business_Rule_Category,Linkage_Columns,Detailed_Business_Rule,SQL_Decision_Control_Statements,SQL_Function,Code_Reference,Bounded_Context,DB2_Table_Name,Review_Comments
BR-CBADMCDJ-001,CBADMCDJ,1,JCL,CBADMCDJ,JOBCARD,N/A,N/A,N/A,N/A,N/A,Initialization,N/A,"The CBADMCDJ batch job is submitted under accounting code AWSCODR with notify recipient set to the submitter's user ID via &SYSUID. The job is routed to class A with hold-queue message class H and full job log and message printing (MSGLEVEL=(1,1)). Maximum CPU time is set to 1440 minutes (24 hours) to accommodate first-time CSD population for very large resource groups. This is a configuration job that registers CICS resources, not a typical data-processing batch.","//CBADMCDJ JOB (COBOL),'AWSCODR',CLASS=A,MSGCLASS=H,MSGLEVEL=(1,1),\n//         NOTIFY=&SYSUID,TIME=1440",N/A,1-2,CICS Resource Registration,N/A,Hardcoded accounting string AWSCODR - externalize via job parameter; hardcoded TIME=1440 minute CPU limit - review under cloud SLA model (serverless functions have inherent timeouts)
BR-CBADMCDJ-002,CBADMCDJ,2,JCL,CBADMCDJ,SET-HLQ,N/A,N/A,N/A,N/A,N/A,Initialization,N/A,Defines a JCL symbolic parameter HLQ with the literal value AWS.M2.CARDDEMO. This high-level qualifier is later substituted into the LIBRARY DSNAME for the COM2DOLL load library at &HLQ..LOADLIB. Externalising the HLQ as a SET allows reuse of the JCL across environments only by editing this single line.,//   SET HLQ=AWS.M2.CARDDEMO,N/A,25,CICS Resource Registration,N/A,Hardcoded HLQ AWS.M2.CARDDEMO - externalize via job parameter or AWS Systems Manager Parameter Store
BR-CBADMCDJ-003,CBADMCDJ,3,JCL,DFHCSDUP,STEP1,DFHCSD,N/A (binary CSD VSAM file),N/A,"DFHCSD,SYSPRINT",N/A (binary CSD VSAM file),Initialization,N/A,The job invokes the IBM CICS-supplied offline utility DFHCSDUP to read and write resource definitions in the CICS System Definition (CSD) file. Read-write mode is selected so the job can both list existing definitions and add new ones. Page size is 60 lines per print page; compatibility mode is disabled (NOCOMPAT) to use the latest CSD format. The 0M region size requests maximum available virtual storage.,"//STEP1   EXEC PGM=DFHCSDUP,REGION=0M,\n//          PARM='CSD(READWRITE),PAGESIZE(60),NOCOMPAT'",N/A,27-28,CICS Resource Registration,N/A,"DFHCSDUP utility has no AWS Glue / ECS equivalent - in cloud target, CICS resource definitions become Spring Boot @Component bean registrations or service-mesh routing rules; this entire step is replaced, not migrated"
BR-CBADMCDJ-004,CBADMCDJ,4,JCL,DFHCSDUP,STEPLIB,STEPLIB,N/A (PDSE load library containing DFHCSDUP module),N/A,N/A,N/A,Initialization,N/A,Specifies the load library that contains the DFHCSDUP utility executable. The DSN points to the CICS Transaction Server 5.6 supplied SDFHLOAD library shared across the LPAR. DISP=SHR allows concurrent access from multiple jobs.,"//STEPLIB  DD  DSN=OEM.CICSTS.V05R06M0.CICS.SDFHLOAD,DISP=SHR",N/A,29,CICS Resource Registration,N/A,Hardcoded DSN OEM.CICSTS.V05R06M0.CICS.SDFHLOAD - AWS Glue needs a connection param; CICS infrastructure has no cloud equivalent - replace with Spring Boot bean registration / AWS Cloud Map
BR-CBADMCDJ-005,CBADMCDJ,5,JCL,DFHCSDUP,DFHCSD,DFHCSD,N/A (binary CSD VSAM file),N/A,DFHCSD,N/A (binary CSD VSAM file),File-IO,N/A,"Allocates the CICS System Definition file (CSD VSAM RRDS) as input/output for DFHCSDUP. All DEFINE, DELETE, and LIST directives in the SYSIN deck operate against this dataset. DISP=SHR allows the running CICS region to continue using the CSD while this job modifies it.","//DFHCSD   DD  UNIT=SYSDA,DISP=SHR,DSN=OEM.CICSTS.DFHCSD",N/A,30,CICS Resource Registration,N/A,Hardcoded DSN OEM.CICSTS.DFHCSD - AWS Glue needs a connection param; CICS infrastructure has no cloud equivalent - replace with Spring Boot bean registration / AWS Cloud Map
BR-CBADMCDJ-006,CBADMCDJ,6,JCL,DFHCSDUP,OUTDD,N/A,N/A,N/A,OUTDD,N/A (free-form text print),Reporting,N/A,Allocates the operator output stream OUTDD to SYSOUT class * so that any DFHCSDUP operator-mode messages are routed to the JES spool. This DD is required for some DFHCSDUP control statements but receives no output for typical DEFINE/LIST jobs.,//OUTDD    DD  SYSOUT=*,N/A,31,CICS Resource Registration,N/A,None
BR-CBADMCDJ-007,CBADMCDJ,7,JCL,DFHCSDUP,SYSPRINT,N/A,N/A,N/A,SYSPRINT,N/A (free-form text print),Reporting,N/A,"Allocates the SYSPRINT DD to SYSOUT class * for DFHCSDUP's diagnostic listing and message output. After the job runs, this stream contains success or failure of every DEFINE directive and the formatted output of any LIST directives.",//SYSPRINT DD  SYSOUT=*,N/A,32,CICS Resource Registration,N/A,None
BR-CBADMCDJ-008,CBADMCDJ,8,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,N/A,N/A,Initialization,N/A,"Declares the in-stream control deck for DFHCSDUP with SYMBOLS=JCLONLY which restricts symbolic substitution to JCL symbols only (e.g., &HLQ). All subsequent control cards through the /* delimiter constitute the directive deck.","//SYSIN    DD  *,SYMBOLS=JCLONLY",N/A,33,CICS Resource Registration,N/A,None
BR-CBADMCDJ-009,CBADMCDJ,9,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Cleanup,N/A,"Commented-out DELETE GROUP(CARDDEMO) statement intended as a re-run safeguard. When the job is re-executed against a CSD that already contains the CARDDEMO group, this line must be uncommented first to remove the prior definitions, otherwise DFHCSDUP will issue duplicate-resource warnings. This is an operator-managed manual step prone to error.",* DELETE GROUP(CARDDEMO),N/A,42,CICS Resource Registration,N/A,"Manual re-run safeguard via commented-out DELETE - in cloud target, registration is idempotent by design (Spring Boot beans, AWS Cloud Map services); no manual uncomment step needed"
BR-CBADMCDJ-010,CBADMCDJ,10,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Registers the application load library COM2DOLL within group CARDDEMO. The DSNAME is constructed by substituting the JCL symbol &HLQ to produce AWS.M2.CARDDEMO.LOADLIB. CICS uses this library as the source of executable load modules for every PROGRAM defined in the same group.,DEFINE LIBRARY(COM2DOLL) GROUP(CARDDEMO)\n                DSNAME01(&HLQ..LOADLIB),N/A,44-45,CICS Resource Registration,N/A,Hardcoded HLQ AWS.M2.CARDDEMO - externalize via job parameter or AWS Systems Manager Parameter Store
BR-CBADMCDJ-011,CBADMCDJ,11,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Registers the BMS mapset COSGN00M (LOGIN SCREEN) with the CICS region under group CARDDEMO. The mapset binds the BMS presentation layer source (COSGN00.bms) to the runtime so transactions can use SEND MAP and RECEIVE MAP against this screen layout. The 3270 screen format is loaded into CICS map storage at INSTALL time.,DEFINE MAPSET(COSGN00M)   GROUP(CARDDEMO)\n       DESCRIPTION(LOGIN SCREEN),N/A,50-51,CICS Resource Registration,N/A,None
BR-CBADMCDJ-012,CBADMCDJ,12,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Duplicate registration of BMS mapset COSGN00M (LOGIN SCREEN) - the same mapset was already defined earlier in this same DFHCSDUP run. DFHCSDUP will accept the second DEFINE but emit a duplicate-resource warning; the second definition silently overrides the first. Indicates the same physical BMS map serves both the Account and Card contexts in CardDemo.,DEFINE MAPSET(COSGN00M)   GROUP(CARDDEMO)\n       DESCRIPTION(LOGIN SCREEN),N/A,53-54,CICS Resource Registration,N/A,Duplicate DEFINE - same resource defined twice in same group; consolidate before migration
